ENGINE_ID,SYSTEM_ID,PARENT_ITEM_ID,CHILD_ITEM_ID,BOM_LEVEL,SEQUENCENO,PATH
MAT002384,MAT002385,MAT001245,MAT002396,4,1,->MAT002385->MAT002153->MAT002151->MAT001245->MAT002396
MAT002384,MAT002385,MAT001245,MAT002397,4,4,->MAT002385->MAT002153->MAT002151->MAT001245->MAT002397
MAT002384,MAT002385,MAT001245,MAT002398,4,3,->MAT002385->MAT002153->MAT002151->MAT001245->MAT002398
MAT002384,MAT002385,MAT001245,MAT002399,4,2,->MAT002385->MAT002153->MAT002151->MAT001245->MAT002399
MAT002384,MAT002385,MAT001245,MAT002400,4,7,->MAT002385->MAT002153->MAT002151->MAT001245->MAT002400
MAT002384,MAT002385,MAT001245,MAT002401,4,5,->MAT002385->MAT002153->MAT002151->MAT001245->MAT002401
MAT002384,MAT002385,MAT001245,MAT002402,4,6,->MAT002385->MAT002153->MAT002151->MAT001245->MAT002402
MAT002384,MAT002385,MAT001245,MAT002403,4,8,->MAT002385->MAT002153->MAT002151->MAT001245->MAT002403
MAT002384,MAT002385,MAT001264,MAT000154,3,1,->MAT002385->MAT002153->MAT001264->MAT000154
MAT002384,MAT002385,MAT001305,MAT000036,3,1,->MAT002385->MAT002150->MAT001305->MAT000036
MAT002384,MAT002385,MAT001306,MAT000110,3,1,->MAT002385->MAT002150->MAT001306->MAT000110
MAT002384,MAT002385,MAT001311,MAT001312,3,1,->MAT002385->MAT001988->MAT001311->MAT001312
MAT002384,MAT002385,MAT001325,MAT000879,3,3,->MAT002385->MAT001332->MAT001325->MAT000879
MAT002384,MAT002385,MAT001325,MAT000930,3,4,->MAT002385->MAT001332->MAT001325->MAT000930
MAT002384,MAT002385,MAT001325,MAT001326,3,1,->MAT002385->MAT001332->MAT001325->MAT001326
MAT002384,MAT002385,MAT001325,MAT001327,3,2,->MAT002385->MAT001332->MAT001325->MAT001327
MAT002384,MAT002385,MAT001326,MAT001328,4,1,->MAT002385->MAT001332->MAT001325->MAT001326->MAT001328
MAT002384,MAT002385,MAT001327,MAT001328,4,1,->MAT002385->MAT001332->MAT001325->MAT001327->MAT001328
MAT002384,MAT002385,MAT001329,MAT001330,3,1,->MAT002385->MAT001332->MAT001329->MAT001330
MAT002384,MAT002385,MAT001331,MAT000135,3,1,->MAT002385->MAT001332->MAT001331->MAT000135
MAT002384,MAT002385,MAT001332,MAT000843,2,3,->MAT002385->MAT001332->MAT000843
MAT002384,MAT002385,MAT001332,MAT000872,2,4,->MAT002385->MAT001332->MAT000872
MAT002384,MAT002385,MAT001332,MAT000977,2,9,->MAT002385->MAT001332->MAT000977
MAT002384,MAT002385,MAT001332,MAT001054,2,5,->MAT002385->MAT001332->MAT001054
MAT002384,MAT002385,MAT001332,MAT001065,2,8,->MAT002385->MAT001332->MAT001065
MAT002384,MAT002385,MAT001332,MAT001068,2,7,->MAT002385->MAT001332->MAT001068
MAT002384,MAT002385,MAT001332,MAT001325,2,2,->MAT002385->MAT001332->MAT001325
MAT002384,MAT002385,MAT001332,MAT001329,2,1,->MAT002385->MAT001332->MAT001329
MAT002384,MAT002385,MAT001332,MAT001331,2,6,->MAT002385->MAT001332->MAT001331
MAT002384,MAT002385,MAT001344,MAT000031,3,1,->MAT002385->MAT002153->MAT001344->MAT000031
MAT002384,MAT002385,MAT001345,MAT000021,3,1,->MAT002385->MAT002082->MAT001345->MAT000021
MAT002384,MAT002385,MAT001349,MAT001350,3,1,->MAT002385->MAT001396->MAT001349->MAT001350
MAT002384,MAT002385,MAT001387,MAT001389,3,1,->MAT002385->MAT002150->MAT001387->MAT001389
MAT002384,MAT002385,MAT001395,MAT000036,3,1,->MAT002385->MAT001396->MAT001395->MAT000036
MAT002384,MAT002385,MAT001396,MAT000006,2,3,->MAT002385->MAT001396->MAT000006
MAT002384,MAT002385,MAT001396,MAT000546,2,5,->MAT002385->MAT001396->MAT000546
MAT002384,MAT002385,MAT001396,MAT001239,2,4,->MAT002385->MAT001396->MAT001239
MAT002384,MAT002385,MAT001396,MAT001349,2,2,->MAT002385->MAT001396->MAT001349
MAT002384,MAT002385,MAT001396,MAT001395,2,1,->MAT002385->MAT001396->MAT001395
MAT002384,MAT002385,MAT001434,MAT000044,3,1,->MAT002385->MAT002153->MAT001434->MAT000044
MAT002384,MAT002385,MAT001446,MAT001447,3,1,->MAT002385->MAT002215->MAT001446->MAT001447
MAT002384,MAT002385,MAT001448,MAT001309,3,1,->MAT002385->MAT001984->MAT001448->MAT001309
MAT002384,MAT002385,MAT001449,MAT000155,3,1,->MAT002385->MAT002381->MAT001449->MAT000155
MAT002384,MAT002385,MAT001526,MAT000186,2,4,->MAT002385->MAT001526->MAT000186
MAT002384,MAT002385,MAT001526,MAT000266,2,8,->MAT002385->MAT001526->MAT000266
MAT002384,MAT002385,MAT001526,MAT000563,2,2,->MAT002385->MAT001526->MAT000563
MAT002384,MAT002385,MAT001526,MAT000570,2,7,->MAT002385->MAT001526->MAT000570
MAT002384,MAT002385,MAT001526,MAT001186,2,1,->MAT002385->MAT001526->MAT001186
MAT002384,MAT002385,MAT001526,MAT001187,2,6,->MAT002385->MAT001526->MAT001187
MAT002384,MAT002385,MAT001526,MAT001188,2,3,->MAT002385->MAT001526->MAT001188
MAT002384,MAT002385,MAT001526,MAT001711,2,5,->MAT002385->MAT001526->MAT001711
MAT002384,MAT002385,MAT001535,MAT000003,3,1,->MAT002385->MAT001536->MAT001535->MAT000003
MAT002384,MAT002385,MAT001535,MAT000007,3,2,->MAT002385->MAT001536->MAT001535->MAT000007
MAT002384,MAT002385,MAT001535,MAT001733,3,3,->MAT002385->MAT001536->MAT001535->MAT001733
MAT002384,MAT002385,MAT001536,MAT000510,2,10,->MAT002385->MAT001536->MAT000510
MAT002384,MAT002385,MAT001536,MAT000511,2,7,->MAT002385->MAT001536->MAT000511
MAT002384,MAT002385,MAT001536,MAT000512,2,4,->MAT002385->MAT001536->MAT000512
MAT002384,MAT002385,MAT001536,MAT000513,2,5,->MAT002385->MAT001536->MAT000513
MAT002384,MAT002385,MAT001536,MAT000514,2,6,->MAT002385->MAT001536->MAT000514
MAT002384,MAT002385,MAT001536,MAT000515,2,2,->MAT002385->MAT001536->MAT000515
MAT002384,MAT002385,MAT001536,MAT000516,2,3,->MAT002385->MAT001536->MAT000516
MAT002384,MAT002385,MAT001536,MAT000791,2,8,->MAT002385->MAT001536->MAT000791
MAT002384,MAT002385,MAT001536,MAT000792,2,9,->MAT002385->MAT001536->MAT000792
MAT002384,MAT002385,MAT001536,MAT001535,2,1,->MAT002385->MAT001536->MAT001535
MAT002384,MAT002385,MAT001540,MAT000064,5,1,->MAT002385->MAT001536->MAT001535->MAT001733->MAT001540->MAT000064
MAT002384,MAT002385,MAT001543,MAT000064,5,1,->MAT002385->MAT001536->MAT001535->MAT001733->MAT001543->MAT000064
MAT002384,MAT002385,MAT001647,MAT000102,4,1,->MAT002385->MAT002071->MAT002067->MAT001647->MAT000102
MAT002384,MAT002385,MAT001668,MAT000108,3,1,->MAT002385->MAT002215->MAT001668->MAT000108
